ID,CICLO,CODIGO,NOMBRE DE LA ASIGNATURA,PRE REQUISITO,CREDITOS APROBADOS,MODALIDAD,CREDITOS
1,PRIMER CICLO,C0090,FILOSOFIA,NINGUNO,0,PRESENCIAL,3
2,PRIMER CICLO,C0613,COMUNICACION Y REDACCION 1,NINGUNO,0,PRESENCIAL,3
3,PRIMER CICLO,C0659,CALCULO DIFERENCIAL PARA INGENIERIA,NINGUNO,0,PRESENCIAL,4
4,PRIMER CICLO,C0737,ALGEBRA MATRICIAL Y GEOMETRIA ANALITICA,NINGUNO,0,PRESENCIAL,3
5,PRIMER CICLO,C0201,QUIMICA GENERAL,NINGUNO,0,PRESENCIAL,5
6,PRIMER CICLO,C8189,INTRODUCCION A LA INGENIERIA INFORMATICA,NINGUNO,0,PRESENCIAL,2
7,SEGUNDO CICLO,C0614,COMUNICACION Y REDACCION 2,COMUNICACION Y REDACCION 1,0,PRESENCIAL,3
8,SEGUNDO CICLO,C0657,CALCULO INTEGRAL PARA INGENIERIA,CALCULO DIFERENCIAL PARA INGENIERIA,0,PRESENCIAL,4
9,SEGUNDO CICLO,C0622,FISICA PARA INGENIERIA 1,NINGUNO,0,PRESENCIAL,5
10,SEGUNDO CICLO,C8190,BIOLOGIA PARA INGENIERIA,NINGUNO,0,PRESENCIAL,5
11,SEGUNDO CICLO,C8191,PROCESOS DE INNOVACION EN INGENIERIA,NINGUNO,0,PRESENCIAL,2
12,SEGUNDO CICLO,C0667,FUNDAMENTOS DE PROGRAMACION,NINGUNO,0,PRESENCIAL,3
13,TERCER CICLO,C0741,CALCULO VECTORIAL PARA INGENIERIA,CALCULO INTEGRAL PARA INGENIERIA,0,PRESENCIAL,4
14,TERCER CICLO,C0742,FISICA PARA INGENIERIA 2,FISICA PARA INGENIERIA 1,0,PRESENCIAL,5
15,TERCER CICLO,C0208,QUIMICA ORGANICA,QUIMICA GENERAL,0,PRESENCIAL,5
16,TERCER CICLO,C0513,CIENCIAS SOCIALES,COMUNICACION Y REDACCION 2,0,PRESENCIAL,2
17,TERCER CICLO,C8274,PROGRAMACION ORIENTADA A OBJETOS,FUNDAMENTOS DE PROGRAMACION,0,SEMIPRESENCIAL,3
18,TERCER CICLO,C8275,ESTRUCTURAS DISCRETAS,NINGUNO,0,PRESENCIAL,3
19,CUARTO CICLO,C0743,ECUACIONES DIFERENCIALES,CALCULO VECTORIAL PARA INGENIERIA,0,PRESENCIAL,4
20,CUARTO CICLO,C1127,PROGRAMACION AVANZADA,FUNDAMENTOS DE PROGRAMACION,0,NO PRESENCIAL,3
21,CUARTO CICLO,C0745,FISICA PARA INGENIERIA 3,FISICA PARA INGENIERIA 2,0,PRESENCIAL,5
22,CUARTO CICLO,C0503,ESTADISTICA Y PROBABILIDADES,CALCULO INTEGRAL PARA INGENIERIA,0,PRESENCIAL,4
23,CUARTO CICLO,C8276,ORGANIZACION Y ARQUITECTURA DE COMPUTADORES,NINGUNO,40,SEMIPRESENCIAL,3
24,CUARTO CICLO,C8277,ALGORITMOS Y ESTRUCTURA DE DATOS,ESTRUCTURAS DISCRETAS,0,NO PRESENCIAL,3
25,QUINTO CICLO,C1324,FUNDAMENTOS DE DISENO,PROCESOS DE INNOVACION EN INGENIERIA,0,PRESENCIAL,3
26,QUINTO CICLO,C8425,INGLES 1,NINGUNO,0,PRESENCIAL,2
27,QUINTO CICLO,C8278,ANALISIS Y DISENO DE ALGORITMOS,ALGORITMOS Y ESTRUCTURA DE DATOS,0,PRESENCIAL,4
28,QUINTO CICLO,C8279,SISTEMAS OPERATIVOS,ORGANIZACION Y ARQUITECTURA DE COMPUTADORES,0,SEMIPRESENCIAL,4
29,QUINTO CICLO,C8280,COMUNICACIÓN DE DATOS Y REDES,NINGUNO,40,PRESENCIAL,4
30,QUINTO CICLO,C8281,INTRODUCCIÓN A MACHINE LEARNING,ESTADISTICA Y PROBABILIDADES,0,NO PRESENCIAL,4
31,QUINTO CICLO,C8430,ACTIVIDAD COMPLEMENTARIA 1,NINGUNO ,0,PRESENCIAL,1
32,SEXTO CICLO,C1330,PROYECTOS DE INGENIERÍA 1,FUNDAMENTOS DE DISENO,0,SEMIPRESENCIAL,5
33,SEXTO CICLO,C8282,BASES DE DATOS,ALGORITMOS Y ESTRUCTURA DE DATOS,0,SEMIPRESENCIAL,4
34,SEXTO CICLO,C8283,IMPLEMENTACION DE LENGUAJES DE PROGRAMACION,SISTEMAS OPERATIVOS,0,SEMIPRESENCIAL,4
35,SEXTO CICLO,C8284,CRIPTOGRAFIA Y SEGURIDAD INFORMATICA,SISTEMAS OPERATIVOS,0,PRESENCIAL,3
36,SEXTO CICLO,C0359,SISTEMAS DE INFORMACION,NINGUNO,80,PRESENCIAL,3
37,SEXTO CICLO,C8445,ASIGNATURA ELECTIVA I,NINGUNO,0,PRESENCIAL,3
38,SEPTIMO CICLO,C1335,DESARROLLO PROFESIONAL 1,NINGUNO,120,NO PRESENCIAL,2
39,SEPTIMO CICLO,C8426,INGLES 2,INGLES 1,0,PRESENCIAL,2
40,SEPTIMO CICLO,C8285,HUMAN-CENTERED DESIGN,SISTEMAS DE INFORMACION,0,PRESENCIAL,4
41,SEPTIMO CICLO,C8286,COMPUTACION PARALELA Y DISTRIBUIDA,SISTEMAS OPERATIVOS,0,PRESENCIAL,4
42,SEPTIMO CICLO,C8287,INGENIERIA DE SOFTWARE,SISTEMAS DE INFORMACION,0,PRESENCIAL,4
43,SEPTIMO CICLO,C8446,ASIGNATURA ELECTIVA 2,NINGUNO,0,PRESENCIAL,3
44,SEPTIMO CICLO,C8431,ACTIVIDAD COMPLEMENTARIA 2,NINGUNO,0,PRESENCIAL,1
45,OCTAVO CICLO,C1343,PROYECTOS DE INGENIERIA 2,PROYECTOS DE INGENIERIA 1,0,SEMIPRESENCIAL,5
46,OCTAVO CICLO,C1342,DESARROLLO PROFESIONAL 2,DESARROLLO PROFESIONAL 1,0,NO PRESENCIAL,2
47,OCTAVO CICLO,C8427,INGLES 3,INGLES 2,0,PRESENCIAL,2
48,OCTAVO CICLO,C8288,DESARROLLO DE SISTEMAS WEB,INGENIERIA DE SOFTWARE,0,PRESENCIAL,4
49,OCTAVO CICLO,C8289,VISUALIZACION,HUMAN-CENTERED DESIGN,0,PRESENCIAL,4
50,OCTAVO CICLO,C8453,ASIGNATURA ELECTIVA 3,NINGUNO,0,PRESENCIAL,3
51,NOVENO CICLO,C8290,DISENO DE NEGOCIOS EN INGENIERIA,PROYECTOS DE INGENIERIA 2,0,NO PRESENCIAL,2
52,NOVENO CICLO,C0772,ETICA,FILOSOFIA,150,NO PRESENCIAL,2
53,NOVENO CICLO,C8269,TESIS 1,NINGUNO,150,PRESENCIAL,5
54,NOVENO CICLO,C8428,INGLES 4,NINGUNO,0,PRESENCIAL,2
55,NOVENO CICLO,C8291,DESARROLLO DE SISTEMAS MOVILES,INGENIERIA DE SOFTWARE,0,PRESENCIAL,4
56,NOVENO CICLO,C8458,ASIGNATURA ELECTIVA IV,NINGUNO,0,PRESENCIAL,3
57,NOVENO CICLO,C8432,ACTIVIDAD COMPLEMENTARIA III,NINGUNO,0,PRESENCIAL,1
58,DECIMO CICLO,C8272,NORMAS Y REGULACIONES EN INGENIERIA,DISENO DE NEGOCIOS EN INGENIERIA,0,NO PRESENCIAL,2
59,DECIMO CICLO,C8271,TESIS 2,TESIS 1,0,PRESENCIAL,5
60,DECIMO CICLO,C8292,TEMAS AVANZADOS DE SEGURIDAD INFORMATICA,CRIPTOGRAFIA Y SEGURIDAD INFORMATICA,0,PRESENCIAL,4
61,DECIMO CICLO,C8293,DERECHO INFORMATICO,NINGUNO ,150,NO PRESENCIAL,2
62,DECIMO CICLO,C8467,ASIGNATURA ELECTIVA 5,NINGUNO ,0,PRESENCIAL,3
63,DECIMO CICLO,C8466,ASIGNATURA ELECTIVA 6,NINGUNO,0,PRESENCIAL,3
64,DECIMO CICLO,C8433,ACTIVIDAD COMPLEMENTARIA 4,NINGUNO,0,PRESENCIAL,1
